,2017,2016,2015,2014,2013
负债占资产比率(%),0.876384074,0.911642179,0.874701087,0.821616903,0.710819976
长期资金占不动产及设备比率(%),0,0,0,0,0
流动比率(%),0,0,0.46690513,0.209210413,0.277331204
速动比率(%),0,0,0,0.207377331,0.267243213
应收款项周转率,0,0,0,4.054152789,8.179284839
应收款项周转天数,0,0,0,0.454951688,0.931386625
存货周转率,0,0,0,37.01825811,2.246350128
存货周转天数,0,0,0,9.724930843,160.2599682
固定资产周转率,18.85482899,21.23804234,17.68287809,29.68195415,27.71969591
总资产周转率,0,0,0.001349607,0.001519588,0.010853998
ROA=资产收益率,0.010079074,0.00138455,0.004398169,0.012425061,0.020230775
净资产收益率,0.097102735,0.013613884,0.032110154,0.059818619,0.066676131
ROA=税前纯益占实收资本比率,2.785889097,0.006929907,1.138601421,0.415289709,0.768999467
毛利率,0,0,0.178634744,0.869344343,0.972366494
营业利润率,0.209200249,0,0.077975685,0.025050689,0.032480221
净利率,-0.209200249,0,0.100659059,0.844293654,0.939886273
营业费用率,-0.209200249,0,0.100659059,0.844293654,0.939886273
经营安全边际率,0,0,0.436509066,0.028815612,0.03340327
EPS=基本每股收益,2.50886934,0.303254351,0.728312891,1.072629459,0.895945226
营收增长率,-0.127248839,0.290781862,-0.053026248,0.127193333,0.236589918
毛利率,0,0,0.178634744,0.869344343,0.972366494
营业利润率,0.209200249,0,0.077975685,0.025050689,0.032480221
净利增长率,7.273152011,-0.320116212,0.183687745,0.19720428,-0.092162048
净资本增长率,-0.220894122,0.768463994,2.547844691,1.777705272,0.066138538
现金流量比率,0,0,0.663865591,0.671230429,0.07321126
现金再投资比率,0,0,3.176618561,2.353861043,0.120992363
