,2017,2016,2015,2014,2013
负债占资产比率(%),0.78026421,0.765878066,0.858060744,0.818449674,0.827097536
长期资金占不动产及设备比率(%),0,0,0,0,0
流动比率(%),0.035339547,0.095449796,0.025691518,0.068753173,0.077307589
速动比率(%),0.034999263,0.095115212,0,0,0.012699155
应收款项周转率,0,0,0,0,0
应收款项周转天数,0,0,0,0,0
存货周转率,5.451956811,70.42560133,0,0.11371121,0.628974275
存货周转天数,66.03133746,5.111777439,0,3165.91479,572.3604519
固定资产周转率,4.198139968,9.645424049,12.12336265,10.72316324,9.847331357
总资产周转率,0.021903682,0.042077105,0.023034179,0.023212879,0.024875823
ROA=资产收益率,0,0.026339527,0,0,0.057754708
净资产收益率,0,0.139478183,0,0,0
ROA=税前纯益占实收资本比率,0,0.061153396,0,0,0.211134069
毛利率,0.957445799,0.716571993,0,0.998948986,0.985536464
营业利润率,0,0,0,0,3.046524536
净利率,0.957445799,0.716571993,0,0.998948986,-2.060988073
营业费用率,0.957445799,0.716571993,0,0.998948986,-2.060988073
经营安全边际率,0,0,0,0,3.091234722
EPS=基本每股收益,0,0.063779432,0,0,0.119781012
营收增长率,-0.479035302,0.88326501,0.035379236,0.012813783,-0.580262615
毛利率,0.957445799,0.716571993,0,0.998948986,0.985536464
营业利润率,0,0,0,0,3.046524536
净利增长率,0,0,0,0,0
净资本增长率,-0.033130174,0.035900068,0.02587532,0.062035998,0.111302435
现金流量比率,0,0.081611591,0,0,0.014603254
现金再投资比率,0,0,0,0,0.009603695
